Tipo de identificación,ID. Cliente,Saldo de aportes,Valor aporte mensual,Saldo aportes ordinarios,Saldo aportes extraordinarios,Valor revalorización,Monto promedio año,Ultima fecha de pago
C,40042,858757.0,13000,858757.0,0,0,858757,2022-03-31
C,36700,1015684.0,13000,1015684.0,0,0,947866,2024-09-09
C,40041,1445273.0,13000,1445273.0,0,0,1342771,2024-09-20
C,47035,20555.0,13000,20555.0,0,0,20555,2022-03-31
C,42338,305508.0,13000,305508.0,0,0,305508,2022-03-31
C,18688,34812.0,13000,34812.0,0,0,34812,2022-03-31
C,10523,7669480.0,13000,7669480.0,0,0,7656527,2024-09-30
C,14312,68298.0,13000,68298.0,0,0,68298,2022-03-31
C,6682,108186.0,13000,108186.0,0,0,108186,2022-03-31
C,31183,3617235.0,13000,3617235.0,0,0,3539746,2024-08-30
C,33388,73104.0,13000,73104.0,0,0,73104,2022-03-31
C,6681,76461.0,13000,76461.0,0,0,76461,2023-08-28
C,14311,77124.0,13000,77124.0,0,0,77124,2023-07-31
C,23362,69475.0,13000,69475.0,0,0,69475,2022-03-31
C,6680,225191.0,13000,225191.0,0,0,225191,2022-03-31
C,36714,57190.0,13000,57190.0,0,0,57190,2022-09-28
C,23361,658233.0,13000,658233.0,0,0,593945,2024-09-30
C,6679,564582.0,13000,564582.0,0,0,524775,2024-07-31
C,48421,3265872.0,13000,3265872.0,0,0,3146481,2024-09-28
C,23360,3437628.0,13000,3437628.0,0,0,3386836,2024-09-17
C,40053,1749558.0,13000,1749558.0,0,0,1748699,2024-08-02
C,6678,105020.0,13000,105020.0,0,0,105020,2023-08-28
C,51854,26796.0,13000,26796.0,0,0,26796,2022-03-31
C,50545,601185.0,13000,601185.0,0,0,579214,2024-08-30
C,40052,1156802.0,13000,1156802.0,0,0,1156802,2022-03-31
C,14310,303552.0,13000,303552.0,0,0,303552,2022-03-31
C,36713,250525.0,13000,250525.0,0,0,186237,2024-09-30
C,23349,68531.0,13000,68531.0,0,0,68531,2022-07-29
C,23348,73298.0,13000,73298.0,0,0,73298,2023-03-30
C,14306,130743.0,13000,130743.0,0,0,130743,2022-08-30
N,33073,109996.0,19500,109996.0,0,0,109996,2023-07-31
N,27048,825184.0,19500,825184.0,0,0,728752,2024-09-30
N,5336,370092.0,19500,370092.0,0,0,368242,2024-01-27
N,18288,388116.0,19500,388116.0,0,0,287485,2024-09-30
N,30888,719777.0,19500,719777.0,0,0,574523,2024-09-30
N,32950,950692.0,19500,950692.0,0,0,841663,2024-09-30
N,5337,510512.0,19500,510512.0,0,0,352021,2024-09-30
N,3401,21106596.0,19500,21106596.0,0,0,17240638,2024-09-30
N,5342,353602.0,19500,353602.0,0,0,252971,2024-09-30
C,6778,39190.0,13000,39190.0,0,0,39190,2022-03-31
N,4585,451036.0,19500,451036.0,0,0,354604,2024-09-30
C,38675,1653195.0,13000,1653195.0,0,0,1653195,2023-01-28
C,18790,459096.0,13000,459096.0,0,0,459096,2023-04-20
C,23413,51927.0,13000,51927.0,0,0,51927,2023-03-30
C,10234,8466012.0,13000,8466012.0,0,0,8440238,2024-09-30
C,6777,137539.0,13000,137539.0,0,0,137539,2023-01-28
C,14375,51022.0,13000,51022.0,0,0,51022,2023-03-30
C,10166,7825409.0,13000,7825409.0,0,0,7585033,2024-09-26
C,33497,1297916.0,13000,1297916.0,0,0,1297916,2023-12-04
C,27517,32291.0,13000,32291.0,0,0,32291,2022-07-29
C,6776,197386.0,13000,197386.0,0,0,197386,2022-03-31
C,14374,33154.0,13000,33154.0,0,0,33154,2022-03-31
C,23412,68407.0,13000,68407.0,0,0,68407,2022-03-31
C,14373,641364.0,13000,641364.0,0,0,641364,2022-07-09
C,33496,3011.0,13000,3011.0,0,0,3011,2022-03-31
C,25554,1938114.0,13000,1938114.0,0,0,1938114,2023-10-11
C,33495,1690428.0,13000,1690428.0,0,0,1679121,2024-07-23
C,33494,61506.0,13000,61506.0,0,0,61506,2022-05-09
C,10556,278965.0,13000,278965.0,0,0,278965,2022-03-31
C,33493,112128.0,13000,112128.0,0,0,112128,2023-03-17
C,6775,231778.0,13000,231778.0,0,0,167490,2024-09-30
C,33407,20630.0,13000,20630.0,0,0,20630,2022-03-31
C,33406,212765.0,13000,212765.0,0,0,203513,2024-06-18
C,33405,172735.0,13000,172735.0,0,0,172735,2022-03-31
C,33404,24816.0,13000,24816.0,0,0,24816,2023-01-28
C,33403,37449.0,13000,37449.0,0,0,37449,2022-03-31
C,43791,25957.0,13000,25957.0,0,0,25957,2022-03-31
C,31193,597150.0,13000,597150.0,0,0,575989,2024-05-31
C,14355,135654.0,13000,135654.0,0,0,135654,2022-03-31
C,31192,68298.0,13000,68298.0,0,0,68298,2022-03-31
C,43790,25911.0,13000,25911.0,0,0,25911,2022-03-31
C,23395,500890.0,13000,500890.0,0,0,443529,2024-09-30
C,36733,28663.0,13000,28663.0,0,0,28663,2022-03-31
C,23394,51991.0,13000,51991.0,0,0,51991,2022-03-31
C,18731,109617.0,13000,109617.0,0,0,109617,2022-03-31
C,23386,2108467.0,13000,2108467.0,0,0,1996752,2024-09-13
C,14348,91503.0,13000,91503.0,0,0,91503,2022-03-31
C,43788,33184.0,13000,33184.0,0,0,33184,2022-03-31
C,40058,158794.0,13000,158794.0,0,0,158794,2022-03-31
C,14347,631030.0,13000,631030.0,0,0,566742,2024-09-30
C,31190,101589.0,13000,101589.0,0,0,101589,2023-09-30
C,14346,126682.0,13000,126682.0,0,0,126682,2022-03-31
C,14345,45917.0,13000,45917.0,0,0,45917,2022-03-31
C,27498,182454.0,13000,182454.0,0,0,182454,2022-03-31
C,23385,26231.0,13000,26231.0,0,0,26231,2022-03-31
C,10611,61388.0,13000,61388.0,0,0,61388,2023-04-25
C,6723,414593.0,13000,414593.0,0,0,414593,2022-03-31
C,27497,577045.0,13000,577045.0,0,0,512757,2024-09-30
C,14344,68334.0,13000,68334.0,0,0,68334,2022-03-31
C,14343,89914.0,13000,89914.0,0,0,89914,2022-08-30
C,14342,26022.0,13000,26022.0,0,0,26022,2022-03-31
C,6722,33154.0,13000,33154.0,0,0,33154,2022-03-31
C,14341,170825.0,13000,170825.0,0,0,170825,2022-03-31
C,27496,338646.0,13000,338646.0,0,0,338646,2022-07-29
C,14340,26388.0,13000,26388.0,0,0,26388,2022-03-31
C,29063,1906708.0,20000,1906708.0,0,0,1820467,2024-09-25
C,23384,167949.0,13000,167949.0,0,0,167949,2022-03-31
C,36724,178693.0,13000,178693.0,0,0,178693,2023-06-30
C,31189,89845.0,13000,89845.0,0,0,89845,2022-03-31
C,6721,126118.0,13000,126118.0,0,0,126118,2022-07-29
C,6720,226882.0,13000,226882.0,0,0,226882,2022-03-31
C,31082,1870442.0,13000,1870442.0,0,0,1825596,2024-09-20
C,13838,575452.0,13000,575452.0,0,0,511164,2024-09-30
